,Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
690,Tata,Hexa,Xm Plus 4X2,2179.0,4,60.0,17.6,300.0,2280.0,81.48417200598736,24.0,1639374
691,Tata,Hexa,Xt 4X4,2179.0,4,60.0,17.6,153.816,2280.0,95.10917200598736,25.0,1929417
692,Tata,Hexa,Xta 4X2,2179.0,4,60.0,17.6,153.816,2280.0,95.10917200598736,27.0,1912593
693,Tata,Hexa,Xt 4X2,2179.0,4,49.30086207,17.6,153.816,2280.0,103.10917200598736,24.0,1796458
694,Tata,Hexa,Xe 4X2,2179.0,4,60.0,17.6,147.9,2280.0,75.48417200598736,24.0,1371864
695,Tata,Hexa,Xm 4X2,2179.0,4,60.0,17.6,153.816,2280.0,81.48417200598736,24.0,1531377
696,Tata,Hexa,Xma 4X2,2179.0,4,49.30086207,17.6,153.816,2280.0,83.48417200598736,24.0,1655587
697,Toyota,Innova Crysta,2.4 Gx 7 Str,2393.0,4,55.0,15.4,147.9,1805.0,42.15468727368649,27.0,1605000
698,Toyota,Innova Crysta,2.4 Vx 7 Str,2393.0,4,55.0,15.0,147.9,1815.0,88.15468727368648,24.0,1927000
699,Toyota,Innova Crysta,2.4 Gx 8 Str,2393.0,4,55.0,15.4,147.9,1825.0,42.52968727368649,25.0,1610000
700,Toyota,Innova Crysta,2.4 Vx 8 Str,2393.0,4,55.0,15.4,147.9,1820.0,88.52968727368648,27.0,1932000
701,Toyota,Innova Crysta,2.4 Zx 7 Str,2393.0,4,55.0,15.1,147.9,1870.0,102.15468727368649,27.0,2113000
702,Toyota,Innova Crysta,2.7 Gx At 8 Str,2694.0,4,55.0,10.83,163.676,1825.0,58.529687273686484,25.0,1620000
703,Toyota,Innova Crysta,2.7 Gx At 7 Str,2694.0,4,55.0,10.83,163.676,1825.0,70.15468727368648,25.0,1615000
704,Toyota,Innova Crysta,2.7 Zx At 7 Str,2393.0,4,55.0,10.75,164.0,1870.0,102.15468727368649,27.0,2103000
