,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
71,Maruti Suzuki,Ignis,Alpha 1.2 Mt,666898,1197.0,Petrol,32.0,20.89,81.838,47.67317171197962,26.0
72,Maruti Suzuki,Ignis,Delta 1.2 Amt,607841,1197.0,Petrol,32.0,20.89,81.838,37.67317171197962,26.0
73,Maruti Suzuki,Ignis,Delta 1.2 Mt,560841,1197.0,Petrol,32.0,20.89,81.838,37.67317171197962,27.0
74,Maruti Suzuki,Ignis,Sigma 1.2 Mt,483320,1197.0,Petrol,32.0,20.89,81.838,25.17317171197962,25.0
75,Maruti Suzuki,Ignis,Zeta 1.2 Amt,630320,1197.0,Petrol,32.0,20.89,81.838,41.67317171197962,26.0
76,Maruti Suzuki,Ignis,Zeta 1.2 Mt,583320,1197.0,Petrol,32.0,20.89,81.838,41.67317171197962,26.0
77,Renault,Triber,Rxe,495000,999.0,Petrol,40.0,20.5,70.992,26.135959198379446,25.0
78,Renault,Triber,Rxl,559000,999.0,Petrol,40.0,20.5,70.992,35.135959198379446,24.5
79,Renault,Triber,Rxt,609000,999.0,Petrol,40.0,20.5,70.992,36.635959198379446,24.5
80,Renault,Triber,Rxz,663000,999.0,Petrol,40.0,20.5,70.992,42.635959198379446,34.5
81,Premier,Rio,Gx,506000,1173.0,Petrol,46.0,16.0,75.5276,19.438995474306637,18.0
82,Premier,Rio,Ex,568623,1489.0,Diesel,46.0,16.0,63.104,16.438995474306637,11.5
83,Premier,Rio,Glx,670000,1173.0,Petrol,46.0,16.0,75.5276,21.438995474306637,18.0
84,Premier,Rio,Dx,603000,1489.0,Diesel,46.0,16.0,63.104,19.438995474306637,18.0
85,Premier,Rio,Lx,739000,1489.0,Diesel,46.0,16.0,63.104,21.438995474306637,17.5
86,Premier,Rio,Crdi4,739000,1248.0,Diesel,46.0,23.7,70.992,21.438995474306637,16.5
87,Toyota,Etios Liva,G,520300,1197.0,Petrol,45.0,18.16,78.88,20.692844607758875,25.0
