,Engine_Size_in_cc,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
68,998.0,3,35.0,23.1,67.048,810.0,31.13216832283357,8.0,542735
69,998.0,3,35.0,23.1,67.048,810.0,31.13216832283357,10.0,552350
70,1197.0,4,32.0,20.89,81.838,860.0,47.22731237430482,11.0,713898
71,1197.0,4,32.0,20.89,81.838,860.0,47.22731237430482,11.0,666898
72,1197.0,4,32.0,20.89,81.838,825.0,37.223982593701486,11.0,607841
73,1197.0,4,32.0,20.89,81.838,825.0,37.223982593701486,12.0,560841
74,1197.0,4,32.0,20.89,81.838,825.0,24.71982036794732,10.0,483320
75,1197.0,4,32.0,20.89,81.838,990.467868338558,41.22531450594282,11.0,630320
76,1197.0,4,32.0,20.89,81.838,990.467868338558,41.22531450594282,11.0,583320
77,999.0,3,40.0,20.5,70.992,947.0,25.838385516468037,10.0,495000
78,999.0,3,40.0,20.5,70.992,947.0,34.84138231901103,9.5,559000
79,999.0,3,40.0,20.5,70.992,947.0,36.34188178610153,9.5,609000
80,999.0,3,40.0,20.5,70.992,947.0,42.343879654463535,9.5,663000
81,1173.0,4,46.0,16.0,75.5276,1080.0,19.047001919400596,8.0,506000
82,1489.0,4,46.0,16.0,63.104,1145.0,16.046002985219594,1.5,568623
83,1173.0,4,46.0,16.0,75.5276,1080.0,21.04766787552126,8.0,670000
84,1489.0,4,46.0,16.0,63.104,1145.0,19.047001919400596,8.0,603000
85,1489.0,4,46.0,16.0,63.104,1145.0,21.04766787552126,7.5,739000
86,1248.0,4,46.0,23.7,70.992,1145.0,21.04766787552126,6.5,739000
87,1197.0,4,45.0,18.16,78.88,895.0,20.202796898810853,10.0,520300
88,1197.0,4,45.0,18.16,78.88,895.0,21.203129876871184,11.0,581000
89,1364.0,4,45.0,23.59,67.048,895.0,20.202796898810853,10.0,647800
90,1197.0,4,45.0,18.16,78.88,895.0,35.20779156971585,11.0,630000
91,1364.0,4,45.0,23.59,67.048,895.0,39.20912348195719,11.0,745000
92,1364.0,4,45.0,23.59,67.048,895.0,31.20645965747452,11.0,704000
93,1197.0,4,45.0,18.16,78.88,895.0,21.203129876871184,11.0,597700
94,1364.0,4,45.0,23.59,67.048,895.0,31.20645965747452,11.0,720700
95,1197.0,4,45.0,18.16,78.88,895.0,35.20779156971585,11.0,641700
